code,company,name,gender,age
0,4You,Roy Braun,male,21
1,4You,Joseph Holsten,male,37
2,4You,Wilma Mcinnis,female,48
3,4You,Paula Daniel,female,23
4,4You,Patricia Carson,female,44
5,4You,Trina Thomas,none,47
6,4You,Jesse Decelle,male,46
7,4You,Gregoria Gil,female,21
8,4You,Jack Sabo,none,41
9,4You,Debbie Helms,none,35
10,4You,Melvin Lovejoy,male,36
11,4You,Virginia Roberts,female,61
12,4You,David Thomas,male,53
13,4You,Irene Tucker,none,36
14,4You,John Cody,male,37
15,4You,Janice Cudney,female,56
16,4You,Shane Hubner,female,47
17,4You,Victor Tribbett,none,25
18,4You,Tanya Orourke,none,65
19,4You,John Bennett,male,22
20,4You,Sally Roberts,female,65
21,4You,Julia Meinhart,female,56
22,4You,Michele Ashford,female,51
23,4You,Leslie Sandoval,male,35
24,4You,Calvin Cuellar,male,60
25,4You,Elizabeth Smith,female,64
26,4You,Yolanda Connolly,female,49
27,4You,Sean Pearson,male,62
28,4You,April Miller,female,46
29,4You,Lisa Natera,female,35
30,4You,Alberta Bornhorst,female,59
31,4You,Christopher Elliott,none,40
32,4You,Wesley Locker,male,44
33,4You,Ida Turzak,female,56
34,4You,Anita Petersen,female,21
35,4You,Helen Selby,none,34
36,4You,Anna Rodriguez,none,56
37,4You,Denise Newton,none,27
38,4You,Nancy Dowdy,female,47
39,4You,Billie Dwight,female,48
40,4You,Carlos Campbell,none,42
41,4You,Sandra Bissonnette,female,62
42,4You,Robert Collins,male,61
43,4You,Louise James,female,24
44,4You,David Brisco,male,21
45,4You,Margaret Paul,female,54
46,4You,Bobby Garcia,male,42
47,4You,Kevin Lindholm,male,28
48,4You,Clyde Ruiz,male,46
49,4You,Charles Wilenkin,male,55
50,4You,Monique Williams,female,56
51,4You,Jenell Torbus,female,39
52,4You,Joyce Jacobsen,female,55
53,4You,Carol Dixon,female,23
54,4You,Dorothea Delaney,female,21
55,4You,Ivory Shiner,none,38
56,4You,Lindsey Pille,none,39
57,4You,Dorothy Dyson,female,32
58,4You,Ernie Walker,male,37
59,4You,Katherine Martinez,none,29
60,4You,Fred Moreta,male,47
61,4You,Susan Armstrong,female,61
62,4You,David Ray,none,32
63,4You,Robert Bell,male,22
64,4You,Ann Moore,female,41
65,4You,Christina Law,none,51
66,4You,Lona Paquette,none,52
67,4You,Melissa Long,female,41
68,4You,Lori Friedman,female,62
69,4You,Patty Chestnut,none,22
70,4You,Charles Lutz,male,57
71,4You,Walter Hendrickson,none,49
72,4You,Pearlie Truong,none,22
73,4You,Melissa Emch,female,46
74,4You,Janet Vaness,none,24
